Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,Frequency [6],Frequency [3],Frequency [8],Frequency [9],Frequency [16],Frequency [2],Frequency [11],Frequency [12],Frequency [1],Frequency [14],Frequency [7],Frequency [4],Frequency [15],Frequency [13],Frequency [5],Frequency [10],Anxiety,Depression,Insomnia,OCD,Music effects
27,3,10,1,2,2,7,1,1,1,2,3,3,1,3,2,2,2,3,4,4,3,3,4,3,8,8,3,0,2
19,3,1,2,2,1,7,1,1,1,1,1,1,1,2,1,1,1,3,4,3,2,2,4,1,6,4,0,3,0
27,3,3,1,2,2,7,1,1,3,1,1,2,1,3,2,1,1,2,4,1,2,3,3,2,1,0,0,0,2
27,3,1.5,1,2,2,5,2,2,1,1,1,2,1,3,1,2,1,2,4,3,1,3,4,3,5,5,4,4,2
19,3,3,1,1,2,12,1,1,3,1,1,4,2,2,2,4,1,3,1,3,3,2,3,3,8,9,6,0,
42,5,2.5,1,1,2,5,2,1,3,2,4,2,1,3,4,1,2,2,3,2,2,2,3,2,8,8,7,6,2
60,4,2,1,2,2,16,2,2,2,3,1,2,4,1,1,1,2,1,1,3,2,1,3,1,3,0,2,0,2
19,5,5,1,2,2,7,2,1,3,2,2,3,3,3,2,1,1,4,4,1,1,3,4,3,0,5,1,0,0
20,6,2,1,2,2,4,1,2,2,1,1,2,1,3,2,1,1,3,1,4,3,2,3,2,6,3,0,0,2
28,3,2,2,2,1,7,2,2,2,1,1,2,1,2,1,1,1,1,4,2,1,1,3,2,1,7,5,1,2
16,0,2,2,1,1,10,1,2,3,2,1,1,2,3,3,2,1,3,1,3,3,2,2,3,4,2,1,1,0
18,3,2,1,2,2,15,2,1,3,1,1,1,1,2,1,1,1,2,1,4,4,2,1,1,5,6,0,1,0
34,3,1,1,2,2,5,1,1,2,1,4,1,1,1,1,4,1,2,4,2,1,1,4,4,1,0,0,0,0
18,5,1.5,1,2,2,4,1,2,1,2,2,1,1,2,4,3,2,4,1,4,3,2,2,4,8,6,5,2,2
21,3,5,1,1,1,9,1,1,3,2,1,4,2,2,3,1,2,3,2,4,3,2,4,2,9,4,0,3,2
38,3,0.5,2,2,2,5,1,1,1,1,2,3,2,3,2,1,3,1,1,4,3,2,4,1,4,6,6,4,2
17,3,2,1,2,2,5,2,1,1,2,2,2,1,1,1,2,1,3,2,3,1,2,4,4,7,3,1,5,2
35,7,0.5,2,2,2,4,2,2,3,1,1,3,1,1,1,1,1,2,1,4,2,1,3,2,10,3,1,0,0
21,0,2,1,2,2,5,2,1,2,3,2,3,1,4,2,1,4,4,4,4,4,4,4,2,8,8,3,0,2
25,6,2.5,1,2,2,15,2,2,2,1,1,2,2,3,2,1,4,4,2,3,4,3,3,3,7,6,5,4,2
18,3,2,1,1,2,12,1,1,4,1,1,2,2,3,3,4,2,4,1,3,4,3,1,2,7,2,3,5,2
16,6,2,2,2,2,4,1,2,1,3,2,3,2,2,1,2,1,3,1,4,2,2,4,2,10,3.5,5,10,2
19,3,1,1,2,2,4,1,1,2,3,2,2,1,3,2,1,1,2,2,4,3,3,4,1,7,5,1,2,2
31,3,4,1,1,2,6,2,1,4,1,2,1,2,3,2,1,3,1,3,2,1,3,3,1,6,8,9,5,2
26,3,5,1,2,2,5,2,2,1,1,3,1,1,1,1,1,1,1,1,4,1,1,4,1,2,9,2,1,0
16,3,2,1,1,1,5,2,2,2,1,4,2,1,1,1,1,1,2,2,3,2,1,4,4,7,4,10,2,2
26,3,2,1,1,2,5,1,1,4,2,2,4,1,2,1,1,1,3,3,2,1,2,4,4,7,5,6,0,2
17,3,2,1,2,2,15,1,1,2,2,1,1,3,3,2,4,1,2,1,3,4,3,1,2,6,1,0,0,2
